Date;Inflation
2012-01-01;2.763
2012-02-01;2.731
2012-03-01;2.61
2012-04-01;2.183
2012-05-01;2.181
2012-06-01;2.185
2012-07-01;2.292
2012-08-01;2.604
2012-09-01;2.492
2012-10-01;2.386
2012-11-01;2.285
2012-12-01;2.077
2013-01-01;1.241
2013-02-01;1.227
2013-03-01;1.017
2013-04-01;0.814
2013-05-01;0.813
2013-06-01;0.916
2013-07-01;0.611
2013-08-01;0.406
2013-09-01;0.507
2013-10-01;0.608
2013-11-01;0.609
2013-12-01;0.712
2014-01-01;1.021
2014-02-01;0.505
2014-03-01;0.302
2014-04-01;0.706
2014-05-01;0.504
2014-06-01;0.605
2014-07-01;0.709
2014-08-01;0.506
2014-09-01;0.504
2014-10-01;0.504
2014-11-01;0.505
2014-12-01;0.404
2015-01-01;-0.101
2015-02-01;0.302
2015-03-01;0.602
2015-04-01;0.501
2015-05-01;0.702
2015-06-01;0.602
2015-07-01;0.704
2015-08-01;0.604
2015-09-01;0.502
2015-10-01;0.301
2015-11-01;0.301
2015-12-01;0.402
2016-01-01;0.607
2016-02-01;0.301
2016-03-01;0.0
2016-04-01;0.0
2016-05-01;0.1
2016-06-01;0.299
2016-07-01;0.299
2016-08-01;0.2
2016-09-01;0.0
2016-10-01;0.3
2016-11-01;0.4
2016-12-01;0.501
2017-01-01;0.905
2017-02-01;0.999
2017-03-01;0.998
2017-04-01;1.097
2017-05-01;0.796
2017-06-01;0.596
2017-07-01;1.493
2017-08-01;1.497
2017-09-01;1.597
2017-10-01;1.494
2017-11-01;1.296
2017-12-01;0.997
2018-01-01;0.698
2018-02-01;0.593
2018-03-01;0.494
2018-04-01;0.789
2018-05-01;1.086
2018-06-01;1.087
2018-07-01;1.078
2018-08-01;0.983
2018-09-01;0.589
2018-10-01;0.785
2018-11-01;0.787
2018-12-01;0.79
2019-01-01;1.287
2019-02-01;1.082
2019-03-01;1.18
2019-04-01;0.978
2019-05-01;0.684
2019-06-01;0.587
2019-07-01;0.388
2019-08-01;0.389
2019-09-01;0.488
2019-10-01;0.584
2019-11-01;0.684
2019-12-01;0.784
2020-01-01;0.684
2020-02-01;0.778
2020-03-01;0.389
2020-04-01;0.0
2020-05-01;0.0
2020-06-01;0.292
2020-07-01;0.483
2020-08-01;0.485
2020-09-01;0.583
2020-10-01;0.387
2020-11-01;0.485
2020-12-01;0.486
2021-01-01;0.583
2021-02-01;0.579
2021-03-01;0.968
2021-04-01;1.453
2021-05-01;1.746
2021-06-01;1.744
2021-07-01;1.635
2021-08-01;1.834
2021-09-01;2.222
2021-10-01;2.989
2021-11-01;3.378
2021-12-01;3.095
2022-01-01;4.344
2022-02-01;4.798
2022-03-01;5.369
2022-04-01;6.686
2022-05-01;7.436
2022-06-01;8.19
2022-07-01;8.704
2022-08-01;8.91
2022-09-01;10.019
2022-10-01;10.112
2022-11-01;8.87
2022-12-01;8.724
2023-01-01;7.678
2023-02-01;7.601
2023-03-01;6.733
2023-04-01;5.282
2023-05-01;2.928
2023-06-01;2.465
2023-07-01;3.133
2023-08-01;2.437
2023-09-01;0.859
2023-10-01;0.085
2023-11-01;0.6
2023-12-01;0.69
2024-01-01;1.203
2024-02-01;0.766
2024-03-01;0.938
2024-04-01;0.765
2024-05-01;2.155
2024-06-01;1.804
2024-07-01;1.097
2024-08-01;1.359
2024-09-01;1.278
2024-10-01;1.614
2024-11-01;1.62
2024-12-01;1.885
