date;Nationalbankens rente - Indskudsbeviser
2001M01;54.000
2001M02;53.000
2001M03;53.000
2001M04;53.000
2001M05;50.000
2001M06;50.000
2001M07;49.500
2001M08;46.500
2001M09;41.500
2001M10;41.000
2001M11;36.000
2001M12;36.000
2002M01;36.000
2002M02;35.500
2002M03;35.500
2002M04;35.500
2002M05;35.500
2002M06;35.500
2002M07;35.500
2002M08;34.500
2002M09;34.500
2002M10;34.500
2002M11;34.500
2002M12;29.500
2003M01;29.500
2003M02;29.500
2003M03;27.000
2003M04;27.000
2003M05;26.500
2003M06;21.500
2003M07;21.500
2003M08;21.500
2003M09;21.500
2003M10;21.500
2003M11;21.500
2003M12;21.500
2004M01;21.500
2004M02;21.500
2004M03;21.500
2004M04;21.500
2004M05;21.500
2004M06;21.500
2004M07;21.500
2004M08;21.500
2004M09;21.500
2004M10;21.500
2004M11;21.500
2004M12;21.500
2005M01;21.500
2005M02;21.500
2005M03;21.500
2005M04;21.500
2005M05;21.500
2005M06;21.500
2005M07;21.500
2005M08;21.500
2005M09;21.500
2005M10;21.500
2005M11;21.500
2005M12;24.000
2006M01;24.000
2006M02;25.000
2006M03;27.500
2006M04;27.500
2006M05;27.500
2006M06;30.000
2006M07;30.000
2006M08;32.500
2006M09;32.500
2006M10;35.000
2006M11;35.000
2006M12;37.500
2007M01;37.500
2007M02;37.500
2007M03;40.000
2007M04;40.000
2007M05;40.000
2007M06;42.500
2007M07;42.500
2007M08;42.500
2007M09;42.500
2007M10;42.500
2007M11;42.500
2007M12;42.500
2008M01;42.500
2008M02;42.500
2008M03;42.500
2008M04;42.500
2008M05;43.500
2008M06;43.500
2008M07;46.000
2008M08;46.000
2008M09;46.000
2008M10;55.000
2008M11;50.000
2008M12;37.500
2009M01;30.000
2009M02;30.000
2009M03;22.500
2009M04;20.000
2009M05;16.500
2009M06;14.500
2009M07;14.500
2009M08;12.500
2009M09;10.000
2009M10;10.000
2009M11;10.000
2009M12;0.9500
2010M01;0.8000
2010M02;0.8000
2010M03;0.7000
2010M04;0.7000
2010M05;0.5000
2010M06;0.5000
2010M07;0.5000
2010M08;0.5000
2010M09;0.5000
2010M10;0.7000
2010M11;0.7000
2010M12;0.7000
2011M01;0.7000
2011M02;0.7000
2011M03;0.7000
2011M04;0.9500
2011M05;0.9500
2011M06;0.9500
2011M07;12.000
2011M08;11.000
2011M09;10.000
2011M10;10.000
2011M11;0.6500
2011M12;0.3000
2012M01;0.3000
2012M02;0.3000
2012M03;0.3000
2012M04;0.3000
2012M05;0.2000
2012M06;0.0500
2012M07;-0.2000
2012M08;-0.2000
2012M09;-0.2000
2012M10;-0.2000
2012M11;-0.2000
2012M12;-0.2000
2013M01;-0.1000
2013M02;-0.1000
2013M03;-0.1000
2013M04;-0.1000
2013M05;-0.1000
2013M06;-0.1000
2013M07;-0.1000
2013M08;-0.1000
2013M09;-0.1000
2013M10;-0.1000
2013M11;-0.1000
2013M12;-0.1000
2014M01;-0.1000
2014M02;-0.1000
2014M03;-0.1000
2014M04;0.0500
2014M05;0.0500
2014M06;0.0500
2014M07;0.0500
2014M08;0.0500
2014M09;-0.0500
2014M10;-0.0500
2014M11;-0.0500
2014M12;-0.0500
2015M01;-0.5000
2015M02;-0.7500
2015M03;-0.7500
2015M04;-0.7500
2015M05;-0.7500
2015M06;-0.7500
2015M07;-0.7500
2015M08;-0.7500
2015M09;-0.7500
2015M10;-0.7500
2015M11;-0.7500
2015M12;-0.7500
2016M01;-0.6500
2016M02;-0.6500
2016M03;-0.6500
2016M04;-0.6500
2016M05;-0.6500
2016M06;-0.6500
2016M07;-0.6500
2016M08;-0.6500
2016M09;-0.6500
2016M10;-0.6500
2016M11;-0.6500
2016M12;-0.6500
2017M01;-0.6500
2017M02;-0.6500
2017M03;-0.6500
2017M04;-0.6500
2017M05;-0.6500
2017M06;-0.6500
2017M07;-0.6500
2017M08;-0.6500
2017M09;-0.6500
2017M10;-0.6500
2017M11;-0.6500
2017M12;-0.6500
2018M01;-0.6500
2018M02;-0.6500
2018M03;-0.6500
2018M04;-0.6500
2018M05;-0.6500
2018M06;-0.6500
2018M07;-0.6500
2018M08;-0.6500
2018M09;-0.6500
2018M10;-0.6500
2018M11;-0.6500
2018M12;-0.6500
2019M01;-0.6500
2019M02;-0.6500
2019M03;-0.6500
2019M04;-0.6500
2019M05;-0.6500
2019M06;-0.6500
2019M07;-0.6500
2019M08;-0.6500
2019M09;-0.7500
2019M10;-0.7500
2019M11;-0.7500
2019M12;-0.7500
2020M01;-0.7500
2020M02;-0.7500
2020M03;-0.6000
2020M04;-0.6000
2020M05;-0.6000
2020M06;-0.6000
2020M07;-0.6000
2020M08;-0.6000
2020M09;-0.6000
2020M10;-0.6000
2020M11;-0.6000
2020M12;-0.6000
2021M01;-0.6000
2021M02;-0.6000
2021M03;-0.5000
2021M04;-0.5000
2021M05;-0.5000
2021M06;-0.5000
2021M07;-0.5000
2021M08;-0.5000
2021M09;-0.5000
2021M10;-0.6000
2021M11;-0.6000
2021M12;-0.6000
2022M01;-0.6000
2022M02;-0.6000
2022M03;-0.6000
2022M04;-0.6000
2022M05;-0.6000
2022M06;-0.6000
2022M07;-0.1000
2022M08;-0.1000
2022M09;0.6500
2022M10;12.500
2022M11;12.500
2022M12;17.500
2023M01;17.500
2023M02;21.000
2023M03;26.000
2023M04;26.000
2023M05;28.500
2023M06;31.000
2023M07;33.500
2023M08;33.500
2023M09;36.000
2023M10;36.000
2023M11;36.000
2023M12;36.000
2024M01;36.000
2024M02;36.000
2024M03;36.000
2024M04;36.000
2024M05;36.000
2024M06;33.500
2024M07;33.500
2024M08;33.500
2024M09;31.000
2024M10;28.500
2024M11;28.500
2024M12;26.000
2025M01;23.500
2025M02;23.500
