Date;Indeks
2016K1;98.09.00
2016K2;100.03.00
2016K3;100.00.00
2016K4;100.08.00
2017K1;100.08.00
2017K2;102.05.00
2017K3;102.00.00
2017K4;102.04.00
2018K1;102.08.00
2018K2;104.00.00
2018K3;104.00.00
2018K4;104.08.00
2019K1;105.00.00
2019K2;106.05.00
2019K3;106.02.00
2019K4;107.00.00
2020K1;107.04.00
2020K2;108.06.00
2020K3;108.06.00
2020K4;109.02.00
2021K1;109.04.00
2021K2;111.03.00
2021K3;110.08.00
2021K4;111.05.00
2022K1;111.09.00
2022K2;114.00.00
2022K3;113.04.00
2022K4;115.00.00
2023K1;115.07.00
2023K2;117.07.00
2023K3;118.01.00
2023K4;119.01.00
2024K1;119.06.00
2024K2;123.08.00
2024K3;123.08.00
2024K4;124.09.00
;
;
;
;
;
;
;
;
  ;
;
;
;
;
   ;
