date;01 Fødevarer og ikke-alkoholiske drikkevarer;02. Alkoholiske drikkevarer og tobak;03. Beklædning og fodtøj;04. Boligbenyttelse, elektricitet og opvarmning;05. Møbler, husholdningsudstyr og husholdningstjenester;06. Sundhed;07. Transport;08. Kommunikation;09. Fritid og kultur;10. Uddannelse;11. Restauranter og hoteller;12. Andre varer og tjenester
2001M01;75.2;76.3;88.9;69.4;84.7;81.2;77.7;130.4;96.7;49.8;70.4;68.1
2001M02;75.7;76.3;89.7;70.2;85.2;81.2;78.5;130.2;96.8;49.8;70.7;68.2
2001M03;76.2;76.4;97.4;70.1;85.5;81.2;78.4;129.7;96.9;49.8;70.8;68.5
2001M04;77.0;76.4;100.0;70.2;85.7;80.0;79.0;129.4;97.4;49.8;70.9;68.9
2001M05;77.5;76.5;100.1;70.2;85.8;80.0;80.0;129.1;98.3;49.8;71.2;69.4
2001M06;77.7;75.7;99.5;70.3;85.9;80.1;79.2;128.8;98.0;50.2;71.3;70.0
2001M07;77.3;75.5;91.8;70.4;85.6;86.6;78.9;128.8;97.3;50.2;71.4;70.5
2001M08;77.4;75.5;89.4;70.7;85.5;86.6;78.9;128.7;97.0;50.2;71.5;70.5
2001M09;76.6;75.0;99.8;70.7;85.8;86.6;79.3;128.9;97.4;51.1;71.6;70.5
2001M10;76.9;76.2;101.7;70.7;86.1;84.4;78.6;128.9;97.2;51.7;71.8;70.6
2001M11;76.5;75.8;102.0;70.5;86.1;84.3;78.1;129.1;97.6;51.7;72.0;70.6
2001M12;76.7;75.8;101.5;70.9;86.2;84.1;78.1;129.2;97.7;51.7;72.0;70.7
2002M01;77.8;76.5;91.8;71.2;86.0;83.7;78.9;129.4;98.3;51.7;72.1;71.5
2002M02;78.4;76.3;92.4;72.2;86.2;83.7;79.4;129.6;98.9;51.8;72.4;71.6
2002M03;78.6;76.4;100.1;72.2;86.6;83.7;80.1;129.3;99.0;51.8;72.3;71.8
2002M04;78.4;76.0;101.6;72.5;87.4;81.6;81.2;129.9;98.7;51.8;72.4;72.7
2002M05;78.8;75.9;101.9;72.6;87.6;81.8;80.5;129.8;99.2;51.8;72.8;72.7
2002M06;79.0;76.1;101.5;72.5;87.6;82.7;80.5;129.7;99.0;51.8;72.9;72.7
2002M07;78.7;76.1;92.5;72.4;87.4;86.0;81.0;129.7;98.8;52.8;73.0;74.0
2002M08;78.4;76.9;92.8;72.5;87.4;86.2;81.2;129.5;98.7;52.8;73.2;74.1
2002M09;78.2;76.7;101.9;72.6;87.6;85.1;81.4;129.6;98.9;56.8;73.2;74.1
2002M10;78.2;76.7;103.8;72.7;87.8;84.1;81.8;129.5;98.9;57.4;73.3;74.1
2002M11;78.2;77.1;104.4;72.6;87.9;83.3;81.4;129.3;99.2;57.4;73.4;74.2
2002M12;78.1;76.5;103.9;72.7;88.0;83.3;81.5;129.1;99.3;57.4;73.4;74.3
2003M01;78.6;76.9;93.3;73.2;87.7;82.8;82.5;129.6;99.6;64.5;73.6;75.0
2003M02;79.6;77.0;92.9;74.7;87.9;82.4;83.7;129.2;100.0;64.5;73.9;75.1
2003M03;79.9;76.8;101.3;75.0;88.1;81.8;84.0;129.0;100.2;64.5;74.1;75.3
2003M04;80.0;76.5;103.6;74.6;88.3;82.6;83.3;128.9;100.3;64.5;74.2;76.1
2003M05;79.8;76.9;103.7;74.4;88.3;82.6;82.4;128.7;100.5;64.5;74.5;76.3
2003M06;80.0;76.6;102.9;74.2;88.3;82.8;82.6;125.3;100.9;65.2;74.6;76.3
2003M07;79.7;76.9;92.3;73.9;88.0;82.9;83.4;125.3;100.6;65.2;74.7;76.3
2003M08;79.4;77.2;90.2;74.0;88.0;82.9;83.8;125.2;100.3;65.2;74.8;76.3
2003M09;79.6;76.6;102.9;74.0;88.2;86.8;83.6;124.9;100.1;66.2;75.0;76.4
2003M10;79.2;71.6;105.6;74.0;88.4;86.7;83.2;124.9;100.9;66.5;75.0;76.1
2003M11;79.4;71.6;106.4;74.1;88.4;86.7;83.4;124.8;100.9;66.5;75.1;76.2
2003M12;79.0;71.7;105.8;74.1;88.3;86.0;83.3;124.5;100.5;66.5;75.2;76.3
2004M01;79.2;72.1;92.4;74.5;90.0;85.6;83.9;125.0;101.3;66.9;75.3;77.3
2004M02;78.8;72.2;95.6;75.8;90.3;84.2;84.4;124.9;101.5;66.9;75.5;77.3
2004M03;79.3;71.5;102.4;75.9;90.5;83.6;85.1;124.7;100.6;66.9;75.7;77.5
2004M04;79.1;71.4;104.3;75.8;90.6;84.7;85.0;124.4;100.4;66.9;75.8;78.3
2004M05;79.3;71.4;105.2;76.0;90.7;84.4;86.7;121.1;99.3;66.9;76.3;78.4
2004M06;79.0;71.4;103.8;76.0;90.7;84.4;85.8;121.4;99.6;67.1;76.5;78.4
2004M07;78.7;72.0;91.4;76.0;90.4;85.4;86.6;122.1;100.6;67.1;76.6;78.7
2004M08;78.5;71.8;91.5;76.1;90.3;85.5;86.8;121.2;97.6;67.1;76.8;78.7
2004M09;78.5;72.3;102.7;76.2;90.5;87.2;86.4;120.5;98.0;68.2;76.8;78.6
2004M10;78.1;72.3;104.2;76.5;90.5;87.4;87.6;120.8;97.7;68.5;77.0;78.7
2004M11;77.9;71.5;104.0;76.5;90.5;87.1;86.8;120.2;97.1;68.5;77.2;78.8
2004M12;78.1;71.4;103.3;76.4;90.5;87.0;85.8;119.7;97.1;68.5;77.3;78.8
2005M01;78.2;73.8;89.1;76.6;90.2;86.2;86.5;120.9;97.4;69.1;77.5;79.5
2005M02;78.7;73.4;93.1;77.8;90.6;85.9;87.2;119.9;98.2;69.1;77.6;79.6
2005M03;79.7;73.1;101.3;78.0;91.0;85.6;87.8;120.0;97.4;69.1;77.7;79.5
2005M04;78.9;73.1;104.8;78.3;91.3;86.9;89.0;119.8;97.4;69.1;77.9;80.3
2005M05;79.2;72.4;104.7;78.3;91.2;86.9;88.5;120.4;97.1;69.1;78.3;80.4
2005M06;79.6;73.1;103.1;78.4;91.1;87.8;88.9;119.9;96.8;69.0;78.1;80.4
2005M07;79.7;73.6;90.0;78.6;91.1;88.6;90.3;119.7;98.3;69.0;78.3;80.4
2005M08;79.8;73.1;93.3;78.7;91.1;89.2;90.4;119.3;96.6;69.0;78.4;80.4
2005M09;79.5;73.2;102.6;78.9;91.4;89.3;91.7;118.8;96.8;68.8;78.5;80.5
2005M10;79.1;72.9;103.8;79.1;91.4;88.9;91.0;119.0;96.6;69.3;78.8;80.5
2005M11;78.9;73.2;103.0;79.0;91.5;88.8;89.7;118.8;96.5;69.3;78.9;80.6
2005M12;79.3;73.4;103.1;78.9;91.4;88.4;89.5;118.7;97.1;69.3;78.9;80.7
2006M01;79.2;72.9;87.8;79.2;91.4;88.4;90.6;119.6;97.5;69.3;79.2;81.7
2006M02;80.0;73.5;93.3;80.3;91.6;88.2;90.3;119.0;98.5;70.2;79.2;81.8
2006M03;80.2;74.2;99.6;80.4;91.6;87.8;90.5;116.7;97.9;70.2;79.4;82.0
2006M04;80.3;73.3;102.0;80.7;91.8;88.2;91.7;117.3;98.7;70.2;79.7;81.7
2006M05;80.9;73.4;101.8;80.8;91.8;88.1;92.1;116.5;98.7;70.2;80.1;81.3
2006M06;81.8;74.0;99.9;80.9;92.1;87.8;92.4;116.5;98.9;71.1;80.2;81.4
2006M07;82.0;74.5;87.5;81.0;91.9;88.2;93.3;117.6;100.3;71.1;80.4;81.3
2006M08;82.3;73.5;91.2;81.0;92.0;88.2;93.3;117.2;98.0;71.1;80.6;81.4
2006M09;82.4;74.1;100.8;81.0;92.2;89.4;91.2;117.0;98.7;71.8;80.6;81.5
2006M10;81.8;74.1;102.4;81.0;92.5;89.9;90.5;118.5;97.8;72.8;80.9;81.6
2006M11;82.6;74.1;101.2;80.8;92.2;89.9;90.7;118.1;97.1;72.8;81.0;81.7
2006M12;83.0;73.9;101.5;80.8;92.3;89.4;90.7;116.8;96.8;72.8;81.1;81.7
2007M01;83.6;74.3;85.7;81.4;92.2;89.4;90.6;117.3;97.8;73.2;81.3;82.3
2007M02;83.9;74.9;91.3;82.6;92.5;89.1;91.5;117.4;98.7;73.2;81.5;82.4
2007M03;83.7;75.3;99.2;82.6;92.9;88.8;92.3;117.1;98.1;73.2;81.5;82.1
2007M04;84.4;75.5;101.4;82.1;93.4;89.7;92.8;117.3;98.0;73.2;81.6;82.2
2007M05;84.7;74.7;101.5;82.2;93.1;89.7;93.8;116.6;98.0;73.2;82.1;82.4
2007M06;84.1;74.8;99.8;82.3;93.0;89.2;93.7;117.0;98.1;74.0;82.3;82.4
2007M07;84.0;75.0;86.3;82.4;93.2;89.2;93.9;118.1;100.0;74.0;82.4;81.8
2007M08;83.7;74.6;89.5;82.5;93.4;89.2;92.9;118.6;98.3;74.0;82.5;81.8
2007M09;84.8;74.7;96.9;82.5;93.5;89.2;93.2;117.9;98.2;75.1;82.5;81.9
2007M10;86.2;75.3;99.2;82.4;93.6;88.7;92.8;118.3;99.0;76.2;83.0;81.2
2007M11;88.3;75.6;99.0;82.8;93.4;88.8;94.5;117.5;98.8;76.2;83.3;81.4
2007M12;88.7;75.5;98.6;82.7;93.6;89.1;93.7;117.3;98.9;76.2;83.4;81.4
2008M01;89.5;76.5;84.5;84.0;93.5;88.7;95.0;119.4;98.8;76.7;84.0;82.5
2008M02;89.7;76.5;93.5;85.3;94.0;88.2;95.1;117.9;100.5;76.7;84.6;82.7
2008M03;90.0;77.7;98.1;85.5;94.3;88.4;95.5;117.8;99.3;76.7;84.9;83.3
2008M04;90.9;78.3;98.8;85.6;94.6;89.5;95.9;117.3;99.0;76.7;85.3;83.6
2008M05;91.6;78.3;98.8;85.6;95.1;88.9;97.2;117.1;98.8;76.7;86.0;83.8
2008M06;92.0;78.4;97.7;85.9;95.0;88.9;98.3;117.2;98.8;76.7;86.3;83.9
2008M07;92.5;78.5;81.9;86.5;95.0;88.9;98.9;118.8;99.5;76.9;86.6;84.1
2008M08;92.5;78.8;91.3;86.2;95.5;89.1;97.5;117.8;98.6;76.9;86.8;84.3
2008M09;92.1;79.1;99.4;85.9;95.9;90.4;98.0;118.0;98.8;77.6;87.3;84.3
2008M10;91.7;78.7;100.5;86.3;95.7;91.1;95.7;117.1;98.9;79.3;87.6;83.9
2008M11;92.3;79.4;99.7;86.0;96.4;91.1;93.5;117.3;98.8;79.3;87.9;83.9
2008M12;92.5;79.2;98.6;85.6;96.2;91.3;92.0;116.7;98.6;79.3;88.0;84.0
2009M01;92.9;79.3;86.1;85.6;96.3;91.4;92.3;116.7;99.2;80.0;88.0;85.3
2009M02;92.5;80.0;89.8;87.6;96.5;91.3;93.3;114.0;101.8;80.0;87.9;85.4
