date;Enfamiliehuse;Sommerhuse;Ejerlejligheder, i alt
2001K1;59.03.00;47.03.00;49.06.00
2001K2;60.00.00;48.06.00;51.02.00
2001K3;60.07.00;50.02.00;52.08.00
2001K4;60.02.00;49.01.00;53.01.00
2002K1;61.01.00;50.03.00;54.07.00
2002K2;62.03.00;52.06.00;56.02.00
2002K3;62.07.00;54.07.00;57.03.00
2002K4;62.07.00;53.06.00;57.03.00
2003K1;62.08.00;55.00.00;60.00.00
2003K2;64.01.00;57.04.00;60.07.00
2003K3;64.09.00;59.04.00;61.05.00
2003K4;64.09.00;59.01.00;60.06.00
2004K1;66.07.00;62.08.00;62.02.00
2004K2;69.02.00;68.05.00;64.09.00
2004K3;71.02.00;72.03.00;66.08.00
2004K4;72.06.00;73.06.00;69.04.00
2005K1;75.05.00;76.08.00;72.08.00
2005K2;79.09.00;83.01.00;78.06.00
2005K3;84.05.00;90.00.00;84.05.00
2005K4;89.01.00;89.06.00;89.01.00
2006K1;94.05.00;94.01.00;94.03.00
2006K2;100.04.00;100.02.00;102.01.00
2006K3;102.08.00;104.03.00;103.02.00
2006K4;102.04.00;101.05.00;100.05.00
2007K1;103.09.00;100.05.00;97.05.00
2007K2;105.02.00;105.08.00;96.02.00
2007K3;105.05.00;105.03.00;94.02.00
2007K4;103.06.00;104.01.00;90.04.00
2008K1;102.05.00;100.07.00;89.05.00
2008K2;103.04.00;101.09.00;87.07.00
2008K3;100.06.00;102.05.00;84.03.00
2008K4;92.08.00;90.04.00;79.03.00
2009K1;87.02.00;84.00.00;72.08.00
2009K2;87.06.00;88.02.00;74.01.00
2009K3;88.04.00;89.02.00;74.05.00
2009K4;88.01.00;87.08.00;75.01.00
2010K1;88.05.00;86.01.00;76.09.00
2010K2;90.08.00;89.06.00;79.02.00
2010K3;91.00.00;88.06.00;79.09.00
2010K4;90.07.00;86.06.00;79.08.00
2011K1;89.02.00;86.03.00;80.05.00
2011K2;90.00.00;84.00.00;80.05.00
2011K3;87.03.00;83.06.00;77.06.00
2011K4;84.05.00;80.01.00;76.08.00
2012K1;84.03.00;80.00.00;77.04.00
2012K2;85.00.00;81.00.00;78.00.00
2012K3;85.01.00;80.05.00;80.04.00
2012K4;85.01.00;78.06.00;80.06.00
2013K1;85.09.00;76.05.00;82.08.00
2013K2;87.08.00;80.07.00;85.06.00
2013K3;87.04.00;80.01.00;86.08.00
2013K4;87.05.00;78.03.00;87.05.00
2014K1;88.02.00;76.09.00;90.01.00
2014K2;90.08.00;80.05.00;93.03.00
2014K3;90.06.00;79.03.00;94.01.00
2014K4;90.06.00;79.09.00;94.07.00
2015K1;93.05.00;78.09.00;98.06.00
2015K2;96.03.00;81.01.00;102.08.00
2015K3;96.01.00;81.02.00;105.00.00
2015K4;96.03.00;78.03.00;105.02.00
2016K1;97.07.00;79.01.00;108.08.00
2016K2;99.04.00;81.09.00;110.07.00
2016K3;100.02.00;83.04.00;112.01.00
2016K4;99.07.00;82.04.00;112.07.00
2017K1;101.01.00;83.03.00;115.04.00
2017K2;103.08.00;86.00.00;118.00.00
2017K3;104.04.00;86.06.00;120.06.00
2017K4;103.07.00;83.09.00;120.06.00
2018K1;106.00.00;85.09.00;124.01.00
2018K2;108.00.00;90.05.00;125.08.00
2018K3;107.08.00;90.08.00;124.04.00
2018K4;107.01.00;87.09.00;123.01.00
2019K1;108.04.00;88.05.00;123.02.00
2019K2;110.07.00;93.06.00;125.06.00
2019K3;111.05.00;92.04.00;124.09.00
2019K4;111.00.00;90.05.00;125.00.00
2020K1;111.00.00;92.01.00;127.04.00
2020K2;113.00.00;97.08.00;128.08.00
2020K3;117.02.00;101.03.00;133.03.00
2020K4;120.04.00;103.08.00;136.00.00
2021K1;124.07.00;108.00.00;142.08.00
2021K2;128.02.00;116.05.00;144.04.00
2021K3;129.07.00;117.02.00;146.08.00
2021K4;129.09.00;115.07.00;146.04.00
2022K1;131.04.00;117.06.00;150.00.00
2022K2;130.07.00;121.09.00;150.07.00
2022K3;127.00.00;121.04.00;143.06.00
2022K4;122.06.00;116.07.00;139.09.00
2023K1;..;..;..
2023K2;..;..;..
2023K3;..;..;..
2023K4;..;..;..
2024K1;..;..;..
2024K2;..;..;..
2024K3;..;..;..
