date;TOT Erhverv i alt
2005K1;03.00
2005K2;02.09
2005K3;02.08
2005K4;02.09
2006K1;02.09
2006K2;03.02
2006K3;03.01
2006K4;03.01
2007K1;03.03
2007K2;03.07
2007K3;04.00
2007K4;04.03
2008K1;04.04
2008K2;04.06
2008K3;04.05
2008K4;04.02
2009K1;04.02
2009K2;03.00
2009K3;02.08
2009K4;02.03
2010K1;02.06
2010K2;02.02
2010K3;02.03
2010K4;02.02
2011K1;01.09
2011K2;01.08
2011K3;01.07
2011K4;01.09
2012K1;01.08
2012K2;01.05
2012K3;01.04
2012K4;01.04
2013K1;01.03
2013K2;01.03
2013K3;01.01
2013K4;01.02
2014K1;01.01
2014K2;01.03
2014K3;01.04
2014K4;01.05
2015K1;01.04
2015K2;01.05
2015K3;01.05
2015K4;01.05
2016K1;01.08
2016K2;01.08
2016K3;01.07
2016K4;01.08
2017K1;01.06
2017K2;01.08
2017K3;01.09
2017K4;01.08
2018K1;02.00
2018K2;02.03
2018K3;02.02
2018K4;02.02
2019K1;02.00
2019K2;02.00
2019K3;02.01
2019K4;02.00
2020K1;02.02
2020K2;01.07
2020K3;01.08
2020K4;01.09
2021K1;02.00
2021K2;02.04
2021K3;02.05
2021K4;02.03
2022K1;02.02
2022K2;02.05
2022K3;02.06
2022K4;02.09
2023K1;03.02
2023K2;02.09
2023K3;03.06
2023K4;03.05
2024K1;03.05
2024K2;04.09
2024K3;04.00
2024K4;03.06
