date;Erhverv i alt
2005K1;03.00
2005K2;03.05
2005K3;03.00
2005K4;01.08
2006K1;02.09
2006K2;01.04
2006K3;02.05
2006K4;02.08
2007K1;02.04
2007K2;03.05
2007K3;03.04
2007K4;03.00
2008K1;03.06
2008K2;05.03
2008K3;05.00
2008K4;06.00
2009K1;06.07
2009K2;04.06
2009K3;04.08
2009K4;04.07
2010K1;04.01
2010K2;03.01
2010K3;03.01
2010K4;02.05
2011K1;02.00
2011K2;00.07
2011K3;00.07
2011K4;01.00
2012K1;00.03
2012K2;01.08
2012K3;02.00
2012K4;01.08
2013K1;01.09
2013K2;00.04
2013K3;00.08
2013K4;00.06
2014K1;00.09
2014K2;01.05
2014K3;00.08
2014K4;00.09
2015K1;00.04
2015K2;00.04
2015K3;00.08
2015K4;00.08
2016K1;01.02
2016K2;01.04
2016K3;01.04
2016K4;01.03
2017K1;01.01
2017K2;01.07
2017K3;01.07
2017K4;01.07
2018K1;03.00
2018K2;01.08
2018K3;03.00
2018K4;03.01
2019K1;02.05
2019K2;03.01
2019K3;02.01
2019K4;02.04
2020K1;02.02
2020K2;02.03
2020K3;02.02
2020K4;01.03
2021K1;01.00
2021K2;01.00
2021K3;00.09
2021K4;02.00
2022K1;01.09
2022K2;02.06
2022K3;02.09
2022K4;02.06
2023K1;02.06
2023K2;02.00
2023K3;02.02
2023K4;02.03
2024K1;02.04
2024K2;06.06
2024K3;06.07
2024K4;06.03
